Gauge_Condition_Lambda,Real_Wavefunction,Imaginary_Wavefunction,Absolute_Amplitude
0.0,1.0,0.0,1.0
0.002004008016032064,0.9975703666635882,0.0062805634122725775,0.997590137241794
0.004008016032064128,0.9951071909685503,0.012530607892069345,0.9951860819221015
0.0060120240480961915,0.9926107460866097,0.018749996924295687,0.9927878200457926
0.008016032064128256,0.9900813053831742,0.024938596041210948,0.9903953376514637
0.01002004008016032,0.9875191424040073,0.031096272818670553,0.9880086208113567
0.012024048096192383,0.9849245308619548,0.037222896872293555,0.985627655631277
0.014028056112224447,0.982297744623728,0.04331833985355614,0.9832524282505133
0.01603206412825651,0.9796390576967433,0.049382475445811584,0.9808829248417568
0.018036072144288574,0.9769487442160201,0.05541517936023725,0.9785191316110206
0.02004008016032064,0.9742270784311327,0.06141632933170917,0.9761610347975591
0.022044088176352703,0.9714743346932246,0.06738580511460458,0.9738086206737887
0.024048096192384766,0.9686907874420763,0.0733234884785333,0.971461875545207
0.026052104208416832,0.9658767111932335,0.07922926320399806,0.9691207857503137
0.028056112224448895,0.9630323805251944,0.08510301507798468,0.9667853376605308
0.03006012024048096,0.9601580700666534,0.09094463188948237,0.964455517680123
0.03206412825651302,0.9572540544838072,0.09675400342493486,0.9621313122461195
0.03406813627254509,0.9543206084677165,0.10253102146362293,0.9598127078282338
0.03607214428857715,0.9513580067217312,0.10827557977297858,0.9574996909287857
0.038076152304609215,0.948366523948973,0.11398757410383192,0.9551922480826227
0.04008016032064128,0.9453464348398795,0.11966690218559062,0.9528903658570413
0.04208416833667334,0.9422980140598077,0.12531346372135302,0.9505940308517092
0.044088176352705406,0.9392215362366999,0.13092716038295554,0.9483032296985868
0.04609218436873747,0.9361172759488094,0.13650789580595404,0.9460179490618498
0.04809619238476953,0.932985507712488,0.14205557558454085,0.9437381756378113
0.0501002004008016,0.9298265059700351,0.1475701072663971,0.9414638961548445
0.052104208416833664,0.9266405450776087,0.15305140034748146,0.9391950973733055
0.05410821643286573,0.9234278992931979,0.1584993662667555,0.9369317660854559
0.05611222444889779,0.9201888427646592,0.1639139184008462,0.9346738891153865
0.058116232464929855,0.9169236495178134,0.1692949720586468,0.9324214533189398
0.06012024048096192,0.9136325934446072,0.17464244447585525,0.9301744455836342
0.06212424849699398,0.9103159482913371,0.17995625480945218,0.9279328528285874
0.06412825651302605,0.9069739876469353,0.1852363241321181,0.9256966620044399
0.06613226452905811,0.903606984931322,0.19048257542659067,0.9234658600932799
0.06813627254509018,0.9002152133838186,0.19569493357996226,0.9212404341085665
0.07014028056112225,0.8967989460516268,0.20087332537791905,0.9190203710950547
0.0721442885771543,0.8933584557783708,0.2060176794989214,0.9168056581287202
0.07414829659318636,0.8898940151927042,0.21112792650832662,0.9145962823166832
0.07615230460921843,0.8864058966969816,0.21620399885245414,0.9123922307971347
0.0781563126252505,0.8828943724559949,0.22124583085259444,0.9101934907392603
0.08016032064128256,0.8793597143857748,0.22625335869896138,0.9080000493431662
0.08216432865731463,0.8758021941424572,0.23122652044458897,0.905811893839805
0.08416833667334668,0.8722220831112146,0.23616525599917343,0.9036290114909004
0.08617234468937875,0.8686196523952548,0.2410695071228601,0.901451389588874
0.08817635270541081,0.8649951728048825,0.24593921741997662,0.8992790154567708
0.09018036072144288,0.8613489148466296,0.25077433233271273,0.8971118764481854
0.09218436873747494,0.8576811487124502,0.25557479913474723,0.8949499599471886
0.09418837675350701,0.853992144268982,0.2603405669248221,0.892793253368254
0.09619238476953906,0.850282171046874,0.26507158662026514,0.8906417441561844
0.09819639278557113,0.8465514982301816,0.26976781095046165,0.8884954197860387
0.1002004008016032,0.8428003946458279,0.27442919445027464,0.8863542677630598
0.10220440881763526,0.8390291287531316,0.27905569345341513,0.8842182756226007
0.10420841683366733,0.8352379686334027,0.2836472660857631,0.8820874309300528
0.1062124248496994,0.8314271819796047,0.28820387225863886,0.8799617212807729
0.10821643286573146,0.8275970360860854,0.29272547366202634,0.8778411343000115
0.11022044088176351,0.8237477978383732,0.29721203375774763,0.8757256576428406
0.11222444889779558,0.8198797337030432,0.3016635177725909,0.8736152789940818
0.11422845691382764,0.8159931097176499,0.3060798926913905,0.8715099860682343
0.11623246492985971,0.8120881914807279,0.31046112725006136,0.8694097666094038
0.11823647294589178,0.8081652441418603,0.3148071919285871,0.8673146083912313
0.12024048096192384,0.804224532391817,0.31911805894396295,0.8652244992168213
0.1222444889779559,0.8002663204527587,0.3233937022430937,0.8631394269186713
0.12424849699398796,0.7962908720685118,0.32763409749564787,0.8610593793586008
0.12625250501002003,0.7922984504949097,0.33183922208686745,0.8589843444276806
0.1282565130260521,0.788289318490204,0.3360090551103348,0.8569143100461623
0.13026052104208416,0.7842637383055447,0.3401435773606974,0.8548492641634083
0.13226452905811623,0.7802219716755275,0.34424277132634934,0.8527891947578211
0.1342685370741483,0.7761642798088122,0.3483066211820727,0.8507340898367738
0.13627254509018036,0.7720909233788082,0.3523351127816359,0.8486839374365399
0.13827655310621242,0.7680021625144309,0.35632823365035393,0.8466387256222241
0.1402805611222445,0.7638982567909255,0.3602859729776066,0.8445984424876921
0.14228456913827653,0.7597794652207612,0.3642083216093186,0.8425630761555023
0.1442885771543086,0.7556460462445952,0.36809527204039955,0.8405326147768357
0.14629258517034066,0.7514982577223039,0.3719468184071469,0.8385070465314275
0.14829659318637273,0.7473363569240874,0.3757629564796099,0.8364863596274982
0.1503006012024048,0.743160600521639,0.3795436836539169,0.8344705423016846
0.15230460921843686,0.7389712445793879,0.3832889989445656,0.8324595828189719
0.15430861723446893,0.7347685445458103,0.38699890297667683,0.8304534694726248
0.156312625250501,0.7305527552448101,0.3906733979782131,0.8284521905841198
0.15831663326653306,0.7263241308671697,0.39431248777216144,0.826455734503077
0.16032064128256512,0.7220829249620705,0.39791617776868177,0.8244640896071922
0.1623246492985972,0.7178293904286837,0.401484474957221,0.8224772443021697
0.16432865731462926,0.7135637795078302,0.4050173878985935,0.820495187021654
0.16633266533066132,0.7092863437737119,0.40851492671702855,0.8185179062271634
0.16833667334669336,0.7049973341257115,0.41197710309218466,0.8165453904080218
0.17034068136272543,0.7006970007802635,0.41540393025113326,0.8145776280812927
0.1723446893787575,0.6963855932627945,0.4187954229603083,0.8126146077917119
0.17434869739478956,0.6920633603997346,0.42215159751742726,0.8106563181116205
0.17635270541082163,0.6877305503105979,0.42547247174338054,0.808702747640899
0.1783567134268537,0.6833874104001338,0.42875806497409014,0.8067538850069004
0.18036072144288576,0.6790341873505485,0.43200839805234037,0.8048097188643842
0.18236472945891782,0.6746711271137964,0.43522349331957877,0.8028702378954508
0.1843687374749499,0.6702984749039418,0.43840337460768747,0.8009354308094746
0.18637274549098196,0.6659164751895914,0.4415480672307291,0.7990052863430392
0.18837675350701402,0.6615253716863959,0.4446575979766624,0.7970797932598714
0.1903807615230461,0.6571254073496232,0.4477319950990331,0.795158940350776
0.19238476953907813,0.6527168243668007,0.45077128830863705,0.7932427164335701
0.1943887775551102,0.6482998641504281,0.453775508765158,0.7913311103530187
0.19639278557114226,0.6438747673307612,0.45674468906877946,0.7894241109807693
0.19839679358717432,0.6394417737486648,0.4596788632517721,0.7875217072152869
0.2004008016032064,0.6350011224485367,0.46257806677005625,0.78562388798179
0.20240480961923846,0.630553051671301,0.4654423364947411,0.7837306422321857
0.20440881763527052,0.6260977988474727,0.4682717107036397,0.7818419589450055
0.2064128256513026,0.6216356005902913,0.4710662290727615,0.7799578271253412
0.20841683366733466,0.6171666926889253,0.473825932667782,0.7780782358047806
0.21042084168336672,0.612691310101746,0.47655086393549134,0.7762031740413441
0.2124248496993988,0.6082096869496729,0.47924106669522015,0.7743326309194206
0.21442885771543085,0.6037220565095869,0.48189658613024583,0.7724665955497042
0.21643286573146292,0.5992286512078154,0.48451746877917684,0.7706050570691308
0.21843687374749496,0.5947297026136866,0.4871037625273184,0.7687480046408148
0.22044088176352702,0.5902254414331528,0.48965551659801765,0.7668954274539858
0.2224448897795591,0.5857160975024854,0.4921727815439907,0.765047314723926
0.22444889779559116,0.5812018997820388,0.4946556092386301,0.7632036556919074
0.22645290581162322,0.576683076350083,0.49710405286729525,0.7613644396251288
0.2284569138276553,0.5721598543967076,0.4995181669185847,0.7595296558166539
0.23046092184368736,0.5676324602177946,0.5018980071755911,0.7576992935853483
0.23246492985971942,0.5631011192090605,0.5042436307071408,0.755873342275818
0.2344689378757515,0.5585660558601686,0.5065550958590156,0.7540517912583469
0.23647294589178355,0.5540274937489102,0.50883246224516,0.7522346299288348
0.23847695390781562,0.5494856555354558,0.5110757907388732,0.7504218477087365
0.24048096192384769,0.5449407629566739,0.5132851434639857,0.7486134340449991
0.24248496993987975,0.5403930368205218,0.5154605837860223,0.7468093784100014
0.2444889779559118,0.5358426970005027,0.5176021763033514,0.7450096703014922
0.24649298597194386,0.5312899624301941,0.5197099868383204,0.7432142992425295
0.24849699398797592,0.5267350510978432,0.5217840824283785,0.7414232547814187
0.250501002004008,0.5221781800410336,0.5238245313171882,0.7396365264916531
0.25250501002004005,0.5176195653414175,0.5258314029457226,0.7378541039718521
0.2545090180360721,0.5130594221195202,0.5278047679433532,0.7360759768457009
0.2565130260521042,0.5084979645296103,0.5297446981189264,0.7343021347618903
0.25851703406813625,0.5039354057546407,0.531651266451829,0.7325325673940566
0.2605210420841683,0.4993719580012551,0.5335245470830435,0.7307672644407206
0.2625250501002004,0.49480783249486704,0.5353646153061943,0.7290062156252289
0.26452905811623245,0.4902432394748025,0.5371715475585842,0.727249410695693
0.2665330661322645,0.4856783881895137,0.5389454214122235,0.7254968394249303
0.2685370741482966,0.48111348689186023,0.5406863155648484,0.723748491610404
0.27054108216432865,0.4765487428344575,0.5423943098309343,0.7220043570741643
0.2725450901803607,0.47198436226509266,0.5440694851326996,0.7202644256627888
0.2745490981963928,0.46742055042221003,0.5457119234911038,0.7185286872473235
0.27655310621242485,0.4628575115304612,0.5473217080168384,0.7167971317232236
0.2785571142284569,0.45829544879632506,0.5488989229013127,0.715069749010295
0.280561122244489,0.453734564403794,0.5504436534076323,0.7133465290526354
0.282565130260521,0.4491750595101267,0.5519559858615748,0.711627461818576
0.28456913827655306,0.4446171342416691,0.5534360076425582,0.7099125373006228
0.2865731462925851,0.4400609876897416,0.5548838071746068,0.7082017455153985
0.2885771543086172,0.435506817906593,0.556299473917313,0.7064950765035845
0.29058116232464926,0.430954821901421,0.5576830983567946,0.7047925203298626
0.2925851703406813,0.4264051956364594,0.5590347719966502,0.7030940670828576
0.2945891783567134,0.4218581340231316,0.5603545873489111,0.701399706875079
0.29659318637274545,0.41731383091826985,0.5616426379249921,0.6997094298428642
0.2985971943887775,0.41277247912040116,0.5628990182266399,0.6980232261463204
0.3006012024048096,0.40823427036609855,0.5641238237368796,0.6963410859692676
0.30260521042084165,0.40369939532639815,0.5653171509109616,0.6946629995191815
0.3046092184368737,0.3991680436032824,0.5664790971673066,0.6929889570271367
0.3066132264529058,0.39464040372622733,0.5676097608784517,0.691318948747749
0.30861723446893785,0.39011666314881716,0.5687092413619962,0.6896529649591198
0.3106212424849699,0.38559700824542165,0.569777638871548,0.6879909959627785
0.312625250501002,0.3810816243079402,0.5708150545876716,0.6863330320836267
0.31462925851703405,0.37657069554261,0.5718215906088375,0.6846790636698818
0.3166332665330661,0.3720644050668785,0.5727973499423732,0.6830290810930204
0.3186372745490982,0.3675629349063411,0.573742436495417,0.6813830747477228
0.32064128256513025,0.36306646599174197,0.5746569550658739,0.6797410350518163
0.3226452905811623,0.35857517815604056,0.5755410113333759,0.6781029524462205
0.3246492985971944,0.3540892501315402,0.576394711850244,0.676468817394891
0.32665330661322645,0.34960885954708143,0.5772181640324565,0.6748386203847634
0.3286573146292585,0.34513418292529957,0.5780114761506187,0.6732123519256991
0.3306613226452906,0.34066539567994386,0.5787747573209397,0.6715900025504291
0.33266533066132264,0.33620267211326105,0.579508117496214,0.6699715628144993
0.33466933867735466,0.3317461854134424,0.5802116674568067,0.6683570232962157
0.3366733466933867,0.3272961076521317,0.5808855188016473,0.6667463745965888
0.3386773547094188,0.32285260978199753,0.5815297839392272,0.6651396073392796
0.34068136272545085,0.3184158616343682,0.5821445760786057,0.663536712170545
0.3426853707414829,0.3139860319169269,0.5827300092204218,0.6619376797591827
0.344689378757515,0.3095632882114708,0.5832861981479145,0.6603425007964778
0.34669338677354705,0.3051477969717316,0.5838132584179492,0.6587511659961478
0.3486973947895791,0.3007397235212571,0.584311306352054,0.6571636660942889
0.3507014028056112,0.2963392320513546,0.5847804590274635,0.6555799918493223
0.35270541082164325,0.2919464856190962,0.5852208342681707,0.6540001340419396
0.3547094188376753,0.2875616461453835,0.585632550635991,0.6524240834750502
0.3567134268537074,0.2831848744130749,0.5860157274216315,0.650851830973727
0.35871743486973945,0.2788163300651727,0.586370484635774,0.6492833673851532
0.3607214428857715,0.27445617160307045,0.5866969430001665,0.6477186835785692
0.3627254509018036,0.2701045563848607,0.586995223938725,0.646157770445219
0.36472945891783565,0.26576164062370294,0.587265449568648,0.6446006188982978
0.3667334669338677,0.2614275793862515,0.5875077426915399,0.6430472198728983
0.3687374749498998,0.25710252659114197,0.5877222267845489,0.6414975643259587
0.37074148296593185,0.25278663500753795,0.5879090259915142,0.6399516432362098
0.3727454909819639,0.24848005625373717,0.5880682651141277,0.6384094476041221
0.374749498997996,0.24418294079583527,0.5882000696031072,0.6368709684518541
0.37675350701402804,0.2398954379464491,0.5883045655493833,0.6353361968231994
0.3787575150300601,0.23561769586349898,0.5883818796752988,0.6338051237835349
0.3807615230460922,0.23134986154904771,0.5884321393258233,0.6322777404197689
0.38276553106212424,0.22709208084819876,0.5884554724597805,0.6307540378402887
0.38476953907815625,0.22284449844805254,0.5884520076410904,0.6292340071749094
0.3867735470941883,0.21860725787671825,0.5884218740300262,0.6277176395748219
0.3887775551102204,0.21438050150238547,0.5883652013744867,0.6262049262125415
0.39078156312625245,0.21016437053245166,0.5882821200012831,0.6246958582818568
0.3927855711422845,0.2059590050127059,0.5881727608074425,0.6231904269977779
0.3947895791583166,0.2017645438265701,0.5880372552515263,0.6216886235964855
0.39679358717434865,0.19758112469439734,0.5878757353449662,0.6201904393352801
0.3987975951903807,0.19340888417282368,0.5876883336434157,0.6186958654925305
0.4008016032064128,0.18924795765417882,0.5874751832381198,0.6172048933676241
0.40280561122244485,0.18509847936595097,0.5872364177473,0.615717514280915
0.4048096192384769,0.18096058237030666,0.5869721713075591,0.6142337195736742
0.406813627254509,0.17683439856366676,0.5866825785653028,0.6127535006080393
0.40881763527054105,0.1727200586763372,0.5863677746681788,0.6112768487669638
0.4108216432865731,0.16861769227219356,0.5860278952565356,0.6098037554541668
0.4128256513026052,0.16452742774842083,0.5856630764548997,0.6083342120940836
0.41482965931863724,0.16044939233530758,0.5852734548634714,0.6068682101318155
0.4168336673346693,0.15638371209609286,0.5848591675496407,0.6054057410330798
0.4188376753507014,0.15233051192686783,0.5844203520395223,0.60394679628416
0.42084168336673344,0.1482899155565308,0.5839571463095101,0.602491367391857
0.4228456913827655,0.14426204554679437,0.583469688777854,0.6010394458834388
0.4248496993987976,0.14024702329224673,0.5829581182962544,0.5995910233065916
0.42685370741482964,0.13624496902046454,0.5824225741414794,0.5981460912293705
0.4288577154308617,0.13225600179217947,0.5818631960070026,0.5967046412401503
0.4308617234468938,0.12828023950149514,0.5812801239946623,0.5952666649475771
0.43286573146292584,0.1243177988761572,0.5806734986063421,0.5938321539805185
0.4348697394789579,0.12036879547787506,0.580043460735673,0.5924010999880155
0.4368737474949899,0.11643334370269393,0.5793901516597597,0.5909734946392342
0.438877755511022,0.11251155678141865,0.5787137130309262,0.5895493296234163
0.44088176352705405,0.10860354678008852,0.5780142868684868,0.5881285966498315
0.4428857715430861,0.10470942460050192,0.577292015550539,0.5867112874477292
0.4448897795591182,0.10082929998079229,0.5765470418057791,0.5852973937662899
0.44689378757515025,0.09696328149605257,0.5757795087053427,0.5838869073745775
0.4488977955911823,0.09311147655901088,0.5749895596546674,0.5824798200614915
0.4509018036072144,0.08927399142075465,0.5741773383853808,0.5810761236357187
0.45290581162324645,0.08545093117150503,0.5733429889472123,0.5796758099256863
0.4549098196392785,0.08164239974143847,0.5724866556999285,0.5782788707795136
0.4569138276553106,0.07784849990155869,0.5716084833052953,0.5768852980649647
0.45891783567134264,0.07406933326461637,0.570708616719063,0.5754950836694013
0.4609218436873747,0.07030500028607647,0.5697872011829781,0.5741082194997358
0.4629258517034068,0.06655560026513388,0.5688443822168198,0.5727246974823834
0.46492985971943884,0.0628212313457771,0.5678803056104623,0.5713445095632159
0.4669338677354709,0.059101990517897766,0.5668951174159637,0.5699676477075141
0.468937875751503,0.05539797361844843,0.5658889639396799,0.5685941038999215
0.47094188376753504,0.051709275332647034,0.5648619917344067,0.5672238701443976
0.4729458917835671,0.04803598919522665,0.5638143475915461,0.5658569384641712
0.4749498997995992,0.04437820759173252,0.5627461785333023,0.5644933009016939
0.47695390781563124,0.040736021759865015,0.5616576318049025,0.5631329495185942
0.4789579158316633,0.037109521790866955,0.5605488548668457,0.5617758763956306
0.48096192384769537,0.03349879663095747,0.5594199953871805,0.5604220736326463
0.48296593186372744,0.029903934082810838,0.558271201233808,0.5590715333485224
0.4849699398797595,0.026325020807078898,0.5571026204668151,0.5577242476811327
0.48697394789579157,0.022762142323959268,0.5559144013308349,0.5563802087872975
0.4889779559118236,0.019215383014807012,0.5547066922474351,0.5550394088427383
0.49098196392785565,0.015684826123790366,0.5534796418075356,0.5537018400420315
0.4929859719438877,0.012170553759589952,0.5522333987638557,0.552367494598564
0.4949899799599198,0.008672646897141893,0.5509681120233886,0.5510363647444875
0.49699398797595185,0.00519118537942271,0.5496839306399065,0.5497084427306725
0.4989979959919839,0.0017262479192781093,0.5483810038064942,0.5483837208266644
0.501002004008016,-0.0017220878987058224,0.5470594808481134,0.5470621913206379
