Position_x,Potential_Barrier_V,Total_Energy_E,Wavefunction_Shifted,Probability_Density_Shifted
-4.0,0.0,1.0,1.6089830531697524,1.5080278891067858
-3.99,0.0,1.0,1.63920432547783,1.5597016023418733
-3.98,0.0,1.0,1.6653368714548802,1.6064015787909147
-3.97,0.0,1.0,1.687213531986711,1.6469348473228087
-3.96,0.0,1.0,1.7046943711023275,1.6802659680319243
-3.95,0.0,1.0,1.7176675710865905,1.7055434829990777
-3.94,0.0,1.0,1.7260501477320132,1.7221216671529835
-3.93,0.0,1.0,1.729788481154488,1.7295770235969514
-3.92,0.0,1.0,1.7288586587775683,1.7277191020205969
-3.91,0.0,1.0,1.7232666282913494,1.7165953638355305
-3.9,0.0,1.0,1.7130481596075504,1.696489969753034
-3.89,0.0,1.0,1.6982686160541487,1.6679165207755837
-3.88,0.0,1.0,1.6790225362731368,1.631604938036717
-3.87,0.0,1.0,1.6554330294958421,1.588482816649449
-3.86,0.0,1.0,1.6276509880639634,1.5396517298872183
-3.85,0.0,1.0,1.5958541222335263,1.4863590890173781
-3.84,0.0,1.0,1.5602458234356924,1.4299662776399136
-3.83,0.0,1.0,1.5210538632657036,1.3719138745535817
-3.82,0.0,1.0,1.478528936521956,1.3136848535463481
-3.81,0.0,1.0,1.4329430576148257,1.256766700187499
-3.8,0.0,1.0,1.3845878206027047,1.2026134133642987
-3.79,0.0,1.0,1.3337725339851398,1.152608362250495
-3.78,0.0,1.0,1.2808222421839661,1.1080289475414111
-3.77,0.0,1.0,1.226075646368272,1.07001396969977
-3.76,0.0,1.0,1.1698829379227538,1.0395345378044742
-3.75,0.0,1.0,1.1126035584179363,1.017369262148468
-3.74,0.0,1.0,1.0546039004107375,1.0040843643014599
-3.73,0.0,1.0,0.9962549637824639,1.0000192127346172
-3.7199999999999998,0.0,1.0,0.9379299826056524,1.0052776535059378
-3.71,0.0,1.0,0.8800020377197008,1.0197253574677043
-3.7,0.0,1.0,0.8228416702866683,1.0429932517627638
-3.69,0.0,1.0,0.7668145115923545,1.0744869479505645
-3.68,0.0,1.0,0.7122789442538329,1.1134019259173822
-3.67,0.0,1.0,0.6595838097937021,1.1587440856911924
-3.66,0.0,1.0,0.6090661772448198,1.209355142156135
-3.65,0.0,1.0,0.5610491870587571,1.2639422139476413
-3.64,0.0,1.0,0.5158399841096765,1.3211108506670115
-3.63,0.0,1.0,0.47372775301528536,1.3794006547210143
-3.62,0.0,1.0,0.43498186834217123,1.4373225878111007
-3.61,0.0,1.0,0.3998501715278294,1.4933970090618847
-3.6,0.0,1.0,0.3685573855412623,1.546191473088337
-3.59,0.0,1.0,0.3413036774228557,1.5943573224337717
-3.58,0.0,1.0,0.31826337789842285,1.636664139608861
-3.57,0.0,1.0,0.299583866257471,1.6720311786394961
-3.56,0.0,1.0,0.28538462762870487,1.6995549731909108
-3.55,0.0,1.0,0.275756488682951,1.7185324160066417
-3.54,0.0,1.0,0.2707610366524258,1.7284787200880065
-3.53,0.0,1.0,0.2704302253826181,1.7291398027880238
-3.52,0.0,1.0,0.27476617093672684,1.720498776462708
-3.51,0.0,1.0,0.2837411380600764,1.702776379873253
-3.5,0.0,1.0,0.29729771759109636,1.6764253393187432
-3.49,0.0,1.0,0.3153491936840429,1.642118803546699
-3.48,0.0,1.0,0.3377800984944842,1.6007331478766782
-3.4699999999999998,0.0,1.0,0.36444695077945577,1.5533255868130569
-3.46,0.0,1.0,0.39517917368777233,1.5011071670424738
-3.45,0.0,1.0,0.4297801858697665,1.4454118307215316
-3.44,0.0,1.0,0.468028658927071,1.3876623393464802
-3.4299999999999997,0.0,1.0,0.5096799331590569,1.329333928694393
-3.42,0.0,1.0,0.5544675825499941,1.2719166232860908
-3.41,0.0,1.0,0.6021051189863494,1.2168771730642016
-3.4,0.0,1.0,0.6522878248030388,1.1656215846304139
-3.39,0.0,1.0,0.7046947019365959,1.119459204197693
-3.38,0.0,1.0,0.7589905252173539,1.079569269773982
-3.37,0.0,1.0,0.8148279866665222,1.0469707870164022
-3.36,0.0,1.0,0.8718499170820444,1.0224964982902451
-3.35,0.0,1.0,0.9296915707025948,1.006771609904477
-3.34,0.0,1.0,0.9879829583357369,1.0001978209456994
-3.33,0.0,1.0,1.0463512140261084,1.002943061700951
-3.32,0.0,1.0,1.104422980125111,1.0149372038057662
-3.31,0.0,1.0,1.1618267955057198,1.03587385170363
-3.3,0.0,1.0,1.2181954716460643,1.065218169653217
-3.29,0.0,1.0,1.2731684413828812,1.102220544339113
-3.2800000000000002,0.0,1.0,1.3263940653109019,1.145935734068736
-3.27,0.0,1.0,1.3775318810750323,1.1952470153808936
-3.26,0.0,1.0,1.4262547811675574,1.248894710230414
-3.25,0.0,1.0,1.4722511052999074,1.3055083650095676
-3.24,0.0,1.0,1.515226633964934,1.3636417593792278
-3.23,0.0,1.0,1.5549064704376971,1.4218098505940042
-3.2199999999999998,0.0,1.0,1.5910367991763872,1.4785267095625603
-3.21,0.0,1.0,1.6233865093756235,1.5323434795500335
-3.2,0.0,1.0,1.651748673286924,1.5818853878510488
-3.19,0.0,1.0,1.675941869850126,1.6258868649540887
-3.1799999999999997,0.0,1.0,1.6958113451690533,1.663223874062969
-3.17,0.0,1.0,1.7112300024083396,1.69294262510379
-3.16,0.0,1.0,1.722099214779445,1.7142839397056038
-3.15,0.0,1.0,1.728349456415525,1.7267026447408096
-3.14,0.0,1.0,1.7299407470997168,1.729881499008894
-3.13,0.0,1.0,1.7268629080020874,1.723739297300344
-3.12,0.0,1.0,1.719135626789413,1.7084329448189064
-3.11,0.0,1.0,1.706808331691293,1.6843534489701764
-3.1,0.0,1.0,1.6899598753281648,1.652115930908023
-3.09,0.0,1.0,1.668698030323621,1.6125439119982055
-3.08,0.0,1.0,1.643158799927408,1.5666482766083065
-3.07,0.0,1.0,1.6135055480587486,1.515601448628583
-3.06,0.0,1.0,1.579927954334762,1.4607074413957557
-3.05,0.0,1.0,1.5426408007682062,1.4033685461073426
-3.04,0.0,1.0,1.5018825978955752,1.3450495096854955
-3.0300000000000002,0.0,1.0,1.4579140591235955,1.2872401171822574
-3.02,0.0,1.0,1.41101643305314,1.2314171345749676
-3.01,0.0,1.0,1.3614897044479766,1.1790065841395692
-3.0,0.0,1.0,1.3096506753560078,1.1313473160937422
-2.99,0.0,1.0,1.2558309386572775,1.0896568070880324
-2.98,0.0,1.0,1.2003747570011396,1.0550000592373503
-2.9699999999999998,0.0,1.0,1.14363686070014,1.0282623941805362
-2.96,0.0,1.0,1.085980178666565,1.0101268371555268
-2.95,0.0,1.0,1.0277735169059325,1.0010566688237317
-2.94,0.0,1.0,0.9693891994171485,1.001283590564826
-2.9299999999999997,0.0,1.0,0.9112006865895165,1.0108018055646208
-2.92,0.0,1.0,0.853580186330712,1.0293681668971904
-2.91,0.0,1.0,0.7968962732063676,1.0565083888184417
-2.9,0.0,1.0,0.7415115308206579,1.091529162600931
-2.8899999999999997,0.0,1.0,0.6877802325185921,1.1335358674056772
-2.88,0.0,1.0,0.6360460752455954,1.1814554237590886
-2.87,0.0,1.0,0.5866399810599566,1.2340637058330315
-2.86,0.0,1.0,0.5398779803609658,1.2900168122694573
-2.8499999999999996,0.0,1.0,0.4960591903728502,1.3478853967228317
-2.84,0.0,1.0,0.4554639018153033,1.4061911811317995
-2.83,0.0,1.0,0.41835178599939693,1.463444718972728
-2.8200000000000003,0.0,1.0,0.3849602338173521,1.5181834438164468
-2.81,0.0,1.0,0.35550283725094667,1.5690090312213423
-2.8,0.0,1.0,0.3301680231117413,1.6146231195370313
-2.79,0.0,1.0,0.3091178477525085,1.653860477115241
-2.7800000000000002,0.0,1.0,0.2924869604596073,1.6857187686571031
-2.77,0.0,1.0,0.2803817421570588,1.7093841603026163
-2.76,0.0,1.0,0.27287962493166873,1.724252109369193
-2.75,0.0,1.0,0.2700285967319149,1.7299428076564074
-2.74,0.0,1.0,0.2718468944088418,1.7263108838110253
-2.73,0.0,1.0,0.27832288706244945,1.7134491169012027
-2.7199999999999998,0.0,1.0,0.2894151504397614,1.691686066334996
-2.71,0.0,1.0,0.3050527319086781,1.6615776786679337
-2.7,0.0,1.0,0.3251356043126912,1.6238930857073925
-2.69,0.0,1.0,0.34953530580333203,1.579594956707349
-2.6799999999999997,0.0,1.0,0.3780957615576086,1.5298149065652202
-2.67,0.0,1.0,0.410634282124253,1.4758245882290337
-2.66,0.0,1.0,0.4469427320127657,1.4190032077719228
-2.65,0.0,1.0,0.4867888610502682,1.3608022919754534
-2.6399999999999997,0.0,1.0,0.5299177899900278,1.3027086084491226
-2.63,0.0,1.0,0.5760536408688368,1.2462061855076292
-2.62,0.0,1.0,0.6249013016845191,1.1927384020246141
-2.61,0.0,1.0,0.6761483141056395,1.1436711156939994
-2.5999999999999996,0.0,1.0,0.7294668721385242,1.1002577716034434
-2.59,0.0,1.0,0.7845159189669505,1.0636073824365175
-2.58,0.0,1.0,0.8409433285518845,1.0346561982632243
-2.5700000000000003,0.0,1.0,0.8983881580364561,1.0141437896263346
-2.56,0.0,1.0,0.9564829565484927,1.0025941548914525
-2.55,0.0,1.0,1.0148561156321285,1.0003023344817468
-2.54,0.0,1.0,1.0731342462737743,1.007326873942511
-2.5300000000000002,0.0,1.0,1.1309445673175798,1.0234883283698468
-2.52,0.0,1.0,1.1879172899926718,1.0483738464084793
-2.51,0.0,1.0,1.2436879832993388,1.0813477167184915
-2.5,0.0,1.0,1.297899905123776,1.1215676074969245
-2.49,0.0,1.0,1.3502062841701983,1.1680060842086268
-2.48,0.0,1.0,1.4002725381137333,1.2194768558465892
-2.4699999999999998,0.0,1.0,1.447778413785501,1.2746650792496703
-2.46,0.0,1.0,1.4924200357,1.3321609473408071
-2.45,0.0,1.0,1.5339118498212128,1.3904957032596015
-2.44,0.0,1.0,1.571988450133947,1.4481791603926504
-2.4299999999999997,0.0,1.0,1.6064062763366054,1.503737769836202
-2.42,0.0,1.0,1.6369451717959436,1.5557522628413205
-2.41,0.0,1.0,1.6634097917982178,1.6028939066489793
-2.4,0.0,1.0,1.6856308530887156,1.6439584475440547
-2.3899999999999997,0.0,1.0,1.7034662167068864,1.6778968740382196
-2.38,0.0,1.0,1.716801797190629,1.7038422143228984
-2.37,0.0,1.0,1.7255522923339202,1.7211316834397348
-2.36,0.0,1.0,1.7296617288298282,1.7293236144094983
-2.3499999999999996,0.0,1.0,1.7291038203086635,1.7282087408064215
-2.34,0.0,1.0,1.7238821354810399,1.7178155425597135
-2.33,0.0,1.0,1.714030075310306,1.6984095184214263
-2.3200000000000003,0.0,1.0,1.699610659360362,1.6704864036858087
-2.31,0.0,1.0,1.6807161226855118,1.6347595064164344
-2.3,0.0,1.0,1.657467325840881,1.5921414856826837
-2.29,0.0,1.0,1.63001298178731,1.5437210372884071
-2.2800000000000002,0.0,1.0,1.5985287046359025,1.4907350825659333
-2.27,0.0,1.0,1.5632158863170167,1.4345371706847432
-2.26,0.0,1.0,1.5243004083591858,1.3765629016515193
-2.25,0.0,1.0,1.4820311970181785,1.3182932532859972
-2.24,0.0,1.0,1.4366786309984432,1.2612167490009238
-2.23,0.0,1.0,1.3885328119520994,1.2067914328265827
-2.2199999999999998,0.0,1.0,1.3379017088183716,1.15640762304435
-2.21,0.0,1.0,1.2851091878733503,1.1113523959038374
-2.2,0.0,1.0,1.2304929410910477,1.0727767067024674
-2.19,0.0,1.0,1.174402326067178,1.0416659881337567
-2.1799999999999997,0.0,1.0,1.1171961313227703,1.0188149769822248
-2.17,0.0,1.0,1.059240281282031,1.0048074122279098
-2.16,0.0,1.0,1.000905495604781,1.0000011231812196
-2.15,0.0,1.0,0.9425649178457567,1.0045188885781708
-2.1399999999999997,0.0,1.0,0.8845917286092574,1.0182453001443825
-2.13,0.0,1.0,0.8273567584667899,1.0408297107494442
-2.12,0.0,1.0,0.7712261159069044,1.0716951918397823
-2.11,0.0,1.0,0.716558845490257,1.1100532713285152
-2.0999999999999996,0.0,1.0,0.663704631189703,1.1549240754565118
-2.09,0.0,1.0,0.6130015596062,1.2051613600921007
-2.08,0.0,1.0,0.5647739573683122,1.259481792034027
-2.0700000000000003,0.0,1.0,0.5193303165485939,1.3164977323140754
-2.06,0.0,1.0,0.4769613213670827,1.3747526840357098
-2.05,0.0,1.0,0.4379379888042877,1.4327584992183138
-2.04,0.0,1.0,0.40250993501738286,1.4890333941820988
-2.0300000000000002,0.0,1.0,0.37090377864864077,1.5421398023541895
-2.02,0.0,1.0,0.3433216912394854,1.5907210975295474
-2.01,0.0,1.0,0.3199401040225609,1.6335362494751307
-2.0,0.0,1.0,0.30090857936392923,1.6694915265848764
-1.9899999999999998,0.0,1.0,0.2863488540743233,1.6976684357274405
-1.98,0.0,1.0,0.2763540607090028,1.7173471855511637
-1.9699999999999998,0.0,1.0,0.27098813183722115,1.7280250738660066
-1.96,0.0,1.0,0.2702853910919609,1.7294293293887841
-1.9500000000000002,0.0,1.0,0.27425033361581486,1.7215240798037756
-1.94,0.0,1.0,0.2828575973074142,1.7045112681365684
-1.9300000000000002,0.0,1.0,0.29605212505232525,1.6788254940319822
-1.92,0.0,1.0,0.3137495169006963,1.645122911717846
-1.9100000000000001,0.0,1.0,0.3358365699389083,1.604264468260979
-1.9,0.0,1.0,0.3621720024019115,1.5572939103013523
-1.8900000000000001,0.0,1.0,0.3925873573943752,1.5054111210919843
-1.88,0.0,1.0,0.4268880804399501,1.4499414689613768
-1.87,0.0,1.0,0.4648547639659686,1.3923019502053688
-1.8599999999999999,0.0,1.0,0.5062445507631707,1.3339649913028262
-1.85,0.0,1.0,0.5507926874430538,1.2764208351433342
-1.8399999999999999,0.0,1.0,0.5982142179560754,1.2211394721269153
-1.83,0.0,1.0,0.6482058063379113,1.1695330886224098
-1.8199999999999998,0.0,1.0,0.7004476770244784,1.1229199920548372
-1.81,0.0,1.0,0.7546056603242599,1.0824909341710856
-1.7999999999999998,0.0,1.0,0.8103333299639595,1.0492786927706306
-1.79,0.0,1.0,0.8672742190344154,1.0241316889492114
-1.7799999999999998,0.0,1.0,0.9250641001623582,1.007692313814352
-1.77,0.0,1.0,0.9833333153226149,1.0003805183262129
-1.7599999999999998,0.0,1.0,1.0417091403879941,1.0023830854683635
-1.75,0.0,1.0,1.0998181692917186,1.0136488587955481
-1.7399999999999998,0.0,1.0,1.157288702551986,1.0338900492472427
-1.73,0.0,1.0,1.2137531248801685,1.0625895868438862
-1.7199999999999998,0.0,1.0,1.2688502566641542,1.0990143294635364
-1.71,0.0,1.0,1.322227664285281,1.1422337912749971
-1.6999999999999997,0.0,1.0,1.3735439144908,1.1911439124015206
-1.69,0.0,1.0,1.4224707584014948,1.244495262608677
-1.6800000000000002,0.0,1.0,1.4686952311843435,1.300924958541021
-1.67,0.0,1.0,1.511921653959416,1.3589914791678683
-1.6600000000000001,0.0,1.0,1.5518735251356643,1.4172114900625543
-1.65,0.0,1.0,1.588295289077529,1.4740977358230323
-1.6400000000000001,0.0,1.0,1.6209539707888816,1.5281970326554508
-1.63,0.0,1.0,1.6496406661579603,1.5781273905837787
-1.62,0.0,1.0,1.6741718782307675,1.6226133169824668
-1.6099999999999999,0.0,1.0,1.6943906909653825,1.6605183995881934
-1.6,0.0,1.0,1.7101677729591278,1.690874336643462
-1.5899999999999999,0.0,1.0,1.7214022047281978,1.7129056725845266
-1.58,0.0,1.0,1.7280221242479499,1.7260496073897225
-1.5699999999999998,0.0,1.0,1.7299851866246305,1.7299703735498584
-1.56,0.0,1.0,1.7272788349581856,1.7245678133947067
-1.5499999999999998,0.0,1.0,1.7199203806635701,1.709979937664082
-1.54,0.0,1.0,1.707956892736771,1.686579399963704
-1.5299999999999998,0.0,1.0,1.6914648966738568,1.6549639771673803
-1.52,0.0,1.0,1.6705498849689597,1.6159412989477877
-1.5099999999999998,0.0,1.0,1.6453456423223103,1.570508216526569
-1.5,0.0,1.0,1.6160133898747193,1.5198253376780038
-1.4899999999999998,0.0,1.0,1.58274075394245,1.4651873785005685
-1.48,0.0,1.0,1.5457405658491004,1.4079900893332826
-1.4699999999999998,0.0,1.0,1.5052495005314288,1.349694599708573
-1.46,0.0,1.0,1.4615265626274503,1.2917900931653559
-1.4499999999999997,0.0,1.0,1.4148514297306196,1.2357557654103277
-1.44,0.0,1.0,1.3655226634076776,1.1830230376227977
-1.4300000000000002,0.0,1.0,1.3138557994234823,1.1349389901804838
-1.42,0.0,1.0,1.26018132938892,1.0927319509076516
-1.4100000000000001,0.0,1.0,1.2048425867424386,1.057480116908676
-1.4,0.0,1.0,1.148193550587688,1.0300840115558707
-1.3900000000000001,0.0,1.0,1.0905965814352654,1.0112434802298036
-1.38,0.0,1.0,1.032420103332023,1.0014398124658344
-1.37,0.0,1.0,0.9740362472044729,1.0009234472044208
-1.3599999999999999,0.0,1.0,0.9158184704907728,1.0097075752198807
-1.35,0.0,1.0,0.8581391682876056,1.0275678021563457
-1.3399999999999999,0.0,1.0,0.8013672912923777,1.0540478807788043
-1.33,0.0,1.0,0.7458659857778589,1.0884713660063827
-1.3199999999999998,0.0,1.0,0.691990270695291,1.129958894995014
-1.31,0.0,1.0,0.6400847667646596,1.1774506508422595
-1.2999999999999998,0.0,1.0,0.590481492078122,1.229733436069262
-1.29,0.0,1.0,0.5434977383172808,1.2854716642759423
-1.2799999999999998,0.0,1.0,0.49943404116919743,1.3432414782742477
-1.27,0.0,1.0,0.45857225792361955,1.401567123136887
-1.2599999999999998,0.0,1.0,0.4211737645481797,1.4589586449963372
-1.25,0.0,1.0,0.38747778377418973,1.513949952561888
-1.2399999999999998,0.0,1.0,0.35769985488751954,1.5651362690568678
-1.23,0.0,1.0,0.33203045501273043,1.61121001785
-1.2199999999999998,0.0,1.0,0.3106337807094902,1.6509942250669742
-1.21,0.0,1.0,0.2936466976749388,1.6834725858979718
-1.1999999999999997,0.0,1.0,0.2811778652702871,1.7078154265443584
-1.19,0.0,1.0,0.27330704147172336,1.7234008985953146
-1.1800000000000002,0.0,1.0,0.27008457269154307,1.729830864414914
-1.17,0.0,1.0,0.2715310717329259,1.72694106774052
-1.1600000000000001,0.0,1.0,0.2776372859383369,1.714805329680181
-1.15,0.0,1.0,0.2883641563749606,1.6937336629204405
-1.1400000000000001,0.0,1.0,0.30364306767857596,1.664264352317951
-1.13,0.0,1.0,0.3233762869577339,1.627150204179593
-1.12,0.0,1.0,0.3474375889507336,1.5833393154992215
-1.1099999999999999,0.0,1.0,0.37567306343654716,1.5339508544091858
-1.1,0.0,1.0,0.40790209973499114,1.4802464705455238
-1.0899999999999999,0.0,1.0,0.44391854199873637,1.4235980656613851
-1.08,0.0,1.0,0.48349200790719127,1.3654527478023906
-1.0699999999999998,0.0,1.0,0.5263693623271622,1.3072958643046286
-1.06,0.0,1.0,0.5722763365138421,1.2506130579534522
-1.0499999999999998,0.0,1.0,0.6209192824948206,1.1968523155948516
-1.04,0.0,1.0,0.6719870514149877,1.1473869786841562
-1.0299999999999998,0.0,1.0,0.7251529838273945,1.1034806606835406
-1.02,0.0,1.0,0.7800769991989361,1.0662549675086914
-1.0099999999999998,0.0,1.0,0.8364077712652225,1.0366608456197421
-1.0,0.0,1.0,0.8937849753197121,1.0154542896819647
-0.9899999999999998,0.0,1.0,0.9518415930622085,1.0031770303545013
-0.98,0.0,1.0,1.0102062602634723,1.0001426955459805
-0.9699999999999998,0.0,1.0,1.0685056422289898,1.0064287986537073
-0.96,0.0,1.0,1.1263668218669527,1.0218747584503483
-0.9499999999999997,0.0,1.0,1.183419685085048,1.0460860012009563
-0.94,0.0,1.0,1.2392992882575746,1.078444040219975
-0.9299999999999997,0.0,1.0,1.29364819261926,1.1181222753815863
-0.9199999999999999,0.0,1.0,1.3461187506535401,1.1641071089780377
-0.9100000000000001,0.0,1.0,1.3963753298502994,1.215223838512238
-0.8999999999999999,0.0,1.0,1.4440964596085464,1.2701666649819798
-0.8900000000000001,0.0,1.0,1.4889768875512008,1.3275320500811778
-0.8799999999999999,0.0,1.0,1.5307295320986178,1.385854570193997
-0.8700000000000001,0.0,1.0,1.5690873188109835,1.4436443512759918
-0.8599999999999999,0.0,1.0,1.6038048887533258,1.499425128332077
-0.8500000000000001,0.0,1.0,1.634660167955372,1.551771957245399
-0.8399999999999999,0.0,1.0,1.6614557879271192,1.5993476155921726
-0.8300000000000001,0.0,1.0,1.6840203481436187,1.6409367625678322
-0.8199999999999998,0.0,1.0,1.7022095124234236,1.6754769853944413
-0.81,0.0,1.0,1.7159069321875786,1.702085939115384
-0.7999999999999998,0.0,1.0,1.7250249906934807,1.7200838864795642
-0.79,0.0,1.0,1.729505363483026,1.729011062123975
-0.7799999999999998,0.0,1.0,1.7293193914601048,1.7286394174790924
-0.77,0.0,1.0,1.7244682642110152,1.7189784463683857
-0.7599999999999998,0.0,1.0,1.7149830123951686,1.7002749424844792
-0.75,0.0,1.0,1.7009243092547672,1.6730066949373597
-0.7399999999999998,0.0,1.0,1.6823820825131044,1.6378702829245495
-0.73,0.0,1.0,1.6594749391440278,1.5957632813137252
-0.7199999999999998,0.0,1.0,1.632349406692061,1.5477613317038377
-0.71,0.0,1.0,1.601178995996164,1.49509066469446
-0.6999999999999997,0.0,1.0,1.5661630913124815,1.4390967752938426
-0.69,0.0,1.0,1.5275256749355317,1.3812100516660115
-0.6799999999999997,0.0,1.0,1.485513894475875,1.322909235245385
-0.6699999999999999,0.0,1.0,1.4403964819588344,1.2656836456461888
-0.6600000000000001,0.0,1.0,1.3924620348565986,1.2109951353476467
-0.6499999999999999,0.0,1.0,1.3420171700492747,1.160240746039061
-0.6400000000000001,0.0,1.0,1.289384562523224,1.1147170205845995
-0.6299999999999999,0.0,1.0,1.2349008813522964,1.07558688227409
-0.6200000000000001,0.0,1.0,1.1789146361646947,1.0438499274437605
-0.6099999999999999,0.0,1.0,1.1217839478706613,1.020316890354745
-0.6000000000000001,0.0,1.0,1.0638742579107965,1.0055889326351437
-0.5899999999999999,0.0,1.0,1.0055559906779272,1.0000422863457716
-0.5800000000000001,0.0,1.0,0.9472021840651249,1.0038186429691685
-0.5699999999999998,0.0,1.0,0.8891861032961998,1.0168215338392883
-0.56,0.0,1.0,0.8318788533020972,1.0387187944753669
-0.5499999999999998,0.0,1.0,0.7756470049157527,1.0689510498674963
-0.54,0.0,1.0,0.7208502500697433,1.1067460039535957
-0.5299999999999998,0.0,1.0,0.6678391009953863,1.1511381682569222
-0.52,0.0,1.0,0.6169526481406371,1.200993525707494
-0.5099999999999998,0.0,1.0,0.568516391148386,1.2550384995994692
-0.5,0.0,1.0,0.5228401567695633,1.311892487659856
